"Keyword","Trends","Impressions"
"canva cv maken","[50,52,71,60,78,96,52,97,112,105,126,91,152]","1142"
"europass cv","[129,164,144,125,150,160,136,151,146,121,115,95,113]","1749"
"cv template","[214,180,191,182,174,176,145,212,188,174,180,161,161]","2338"
"gratis cv maken","[165,184,182,175,222,190,215,197,166,166,179,161,196]","2398"
"curriculum vitae","[273,319,285,248,210,256,264,238,249,217,226,192,240]","3217"
"voorbeeld cv","[256,249,250,287,216,286,318,336,249,253,264,223,241]","3428"
"cv voorbeeld","[312,317,328,378,288,339,339,303,278,329,293,267,262]","4033"
"cv maken gratis","[480,412,402,404,284,356,334,323,331,278,320,274,338]","4536"
"cv maker","[386,482,478,440,366,460,449,421,459,461,425,320,427]","5574"
"cv maken","[1612,1741,1640,1796,1443,1665,1826,1894,1712,1690,1635,1460,1529]","21643"
