"Keyword","Trends","Impressions"
"c.v","[1,2,2,3,2,2,1,1,1,1,1,3,7]","27"
"c.v.","[3,3,5,5,2,3,3,3,4,5,0,3,5]","44"
"cv creator","[11,3,6,4,8,1,7,6,2,9,7,9,9]","82"
"cv maker ai","[9,5,15,3,6,8,2,7,9,6,4,2,7]","83"
"cv gratis","[16,8,11,13,17,25,24,14,16,10,15,19,15]","203"
"cv opstellen","[25,27,36,32,33,27,20,34,22,23,16,25,33]","353"
"cvmaker inloggen","[30,31,17,17,31,31,28,32,33,17,36,38,33]","374"
"cv format","[93,74,89,65,45,59,66,65,59,45,38,42,48]","788"
"canva cv","[118,116,113,133,99,95,114,120,94,104,92,85,83]","1366"
"cv template","[214,180,191,182,174,176,145,212,188,174,180,161,161]","2338"
