"Keyword","Trends","Impressions"
"enhance cv","[21,28,15,42,22,30,23,13,14,31,33,31,50]","353"
"cv opstellen","[25,27,36,32,33,27,20,34,22,23,16,25,33]","353"
"template cv","[36,26,35,39,21,23,35,37,29,28,28,27,35]","399"
"cv ster","[28,21,24,0,45,48,51,45,59,55,43,34,52]","505"
"voorbeelden cv","[40,41,52,33,45,54,40,59,47,44,38,21,41]","555"
"cv format","[93,74,89,65,45,59,66,65,59,45,38,42,48]","788"
"cv ketel","[135,129,143,109,123,98,100,90,78,86,92,59,73]","1315"
"canva cv","[118,116,113,133,99,95,114,120,94,104,92,85,83]","1366"
"cv.nl","[139,123,111,119,111,116,104,111,106,110,120,95,113]","1478"
"feenstra cv onderhoud","[234,168,204,175,198,199,147,170,153,185,178,119,130]","2260"
