"Keyword","Trends","Impressions"
"gratis cv maken zonder kosten en downloaden","[21,23]","44"
"c.v.","[3,3,5,5,2,3,3,3,4,5,0,3,5]","44"
"cv maken gratis nederland","[21,22,23,22,27,24]","139"
"gratis cv maken en downloaden","[21,26,22,33,22,30,36,50,15,40,25,19]","339"
"cv ster","[28,21,24,0,45,48,51,45,59,55,43,34,52]","505"
"gratis cv maken zonder kosten","[51,58,50,56,44,45,37,30,35,32,41,21,25]","525"
"hoe maak je een cv","[55,59,71,58,38,51,48,52,39,66,38,47,51]","673"
"cvmaker","[76,69,79,61,53,71,85,80,92,84,65,56,66]","937"
"cv.nl inloggen","[52,95,97,82,88,94,85,104,56,86,72,54,54]","1019"
"cvster","[94,189,161,156,182,190,214,198,180,150,155,139,138]","2146"
